file_name,url,audio_duration,uni,inference_transcript,inference_checkpoint-19000
STT_GR_0033_0025_56251_to_58684,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_GR_0033_0025_56251_to_58684.wav,2.433,ཁོ་ཚོས་གཅིག་གོ་ཐུབ་ཀི་འདུག ཡག་པོ་འདུག་བསམ་གི་འདུག ,ཁོ་དེ་གས་གོ་ཐུབ་ཀི་འདུག ཡག་པོ་འདུག་བསམ་གི་འདུག ,ཁོ་ཚོས་གཅིག་གི་གོ་ཐུབ་ཀྱི་འདུག ཡག་པོ་འདུག་བསམ་གྱི་འདུག
STT_GR_0033_0090_193568_to_195872,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_GR_0033_0090_193568_to_195872.wav,2.304,གཅིག་གི་ནང་ལ་སྲོག་ཆགས་ཆུང་ཆུང་ནང་། དེ་ལ་དེ་ལ།,སཔྱད་ཀི་འདུག སྲོག་ཆག་ྱུང་ཆུང་མ་མ དེ་ལ་དེ་ན།  ,སྐྱེད་ཀྱི་འདུག སྲོག་ཆགས་ཆུང་ཆུང་ན་དེ་ལ་བརྟེན་ནས་
STT_GR_0033_0086_184160_to_186112,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_GR_0033_0086_184160_to_186112.wav,1.952,དེ་ཐམས་ཅད་སྡུག་བསྔལ་ཡིན་ལུགས་སུ་མེད་པར་རྟོགས་ན།,དེ་ཐབ་བྱས་སྡུག་བསྔལ་ཡོང་སེ་མེ་པར་གཏོང་ག་ ,དེ་ཐམས་ཅད་སྡུག་བསྔལ་དངོས་སུ་མེད་པར་རཏོང་ན།
STT_GR_0001_0019_192100_to_196200,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_GR_0001_0019_192100_to_196200.wav,4.1,དེ་ནས་སངས་རྒྱུ་དེ་གང་རེད་རྫས་ན། དཔེར་ན་ད་ལྟ་,དེ་ནས་ཚང་རྒྱལ་པོད་རྒྱོ་དེ་གང་རེད་དེན་ན། དཔེར་ན། ད་ྟ།  ,དེ་ནས་སངས་རྒྱས་པའི་རྒྱུ་དེ་གང་རེན་ཟེར་ན། དཔེར་ན། ད་ལྟ
STT_GR_0033_0006_21660_to_23932,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_GR_0033_0006_21660_to_23932.wav,2.272,དེས་ཨུ་ཚུགས་བརྒྱབ་ལ་བཏང་དགོས་རེད། དེ་ནས་ཡ་པོ་དངོས་གནས་ཡིན་ན།,དེ་ཨ་ཚག་རྒྱབ་བཏང་དགོས་རེད། དེ་ནས་ཡང་ངོས་ླིན་ན།  ,དེ་ནས་ཨུ་ཚུགས་བརྒྱག་ནས་གཏོང་བྱུང་། དེ་ནས་ཡང་རེད་བ
STT_GR_0033_0056_119868_to_122076,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_GR_0033_0056_119868_to_122076.wav,2.208,དེ་དུས་དཔེ་ང་བཟང་སྤྱོད་མེད་ངོ་ཚ་བོ་ཚ་བོ་རེད།  ,ྲེ་དུས་པ་ང་ཟང་ཅད་ཡོད་མེད་ངོ་བོ་ཚར་བོ་རེད།  ,དགེ་འདུན་པ་ངར་བྱམས་བརྩེ་དེ་མེད་ན་ངོ་ཚ་བོ་རེད།
STT_GR_0018_0006_27095_to_28087,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_GR_0018_0006_27095_to_28087.wav,0.992,ཆོས་འཁོར་ལོ་བསྐོར་བར་ཙམ་པ།,ཅི་འཁོར་ལོ་ཀོ་བ་དམ་ཕར།  ,སྤྱིན་འཁོར་ལོ་བསྐོར་བ་ཐབ་པ།
STT_GR_0018_0031_65976_to_68184,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_GR_0018_0031_65976_to_68184.wav,2.208,དེ་བཟོ་ལྟ་ང་ཚོ་གང་ཟག་རང་རང་གི་ ,དེ་ཟོ་ལྟ་ལྔ་ཙོམ་གང་ཅག་རང་གི་ ,དེ་བསྲུང་དང་མ་བསྲུང་གང་ཟག་རང་རང་གིས་
STT_GR_0033_0060_126588_to_129148,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_GR_0033_0060_126588_to_129148.wav,2.56,དེ་ལས་ཚབ་ཆེན་ཚབ་བཞག་ལེ་ལ། དེ་རང་གྲོགས་པོ་ཚབ་བཞག་ལེ།,དེ་གི་ཚབ་ཆེའ་ཐབས་ཤེས་ལ། ལམ་ཀ་གྲོགས་ཕོག་ཐབས་ཤེས་ལ།  ,དེ་ཡས་སིམས་ཅན་ཐམས་ཅད་ལ། རང་གི་དྲོགས་པོ་ཐམས་ཅད་ལ།
STT_GR_0033_0003_13500_to_16380,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_GR_0033_0003_13500_to_16380.wav,2.88,ང་ད་སྔོན་འཛམ་བུ་གླིང་ག་ས་ག་ལ་སྐད་གཏོང་དགོས་མ་རེད་ཁོ་ཚོ་,ང་ད་སྔོ་འཛམ་པ་ནི་ག་ལག་ག་ལ་སྐད་བཏར་ནོང་རེད ག་སེ་ོ།  ,ང་ད་སྔོན་ད་མ་འཛམ་བུ་གླིང་ག་ས་ག་ལ་སྐད་བཏང་ནི་རེད། ཁོ་ཚོས
STT_GR_0018_0005_25592_to_27000,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_GR_0018_0005_25592_to_27000.wav,1.408,ཡིན་ལེ་ཡང་དེ་འདྲའི་ཟེར་རྩར་འོངས་ཚུལ་,ཡིན་ན་ཡང་དེ་རིང་དེ་རྩ་གོང་དོ་ྱུ།  ,ཡིན་ན་ཡང་དེ་ནས་ད་ད་ང་ཚོའ།་
STT_GR_0010_0272_1474919_to_1476040,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_GR_0010_0272_1474919_to_1476040.wav,1.121,ཁྱོད་རང་ཁྲེས་པོ་ཡིན་པ་ལྟ།,བཤོད་ལམ་ཚེན་པོ་ཡིན་པ་རྟག་ལ།  ,བསོད་ནམས་ཆེན་པོ་ཡིན་པོ་བཏགས་།
