file_name,url,audio_duration,uni,inference_transcript,inference_checkpoint-19000
STT_GR_0033_0056_119868_to_122076,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_GR_0033_0056_119868_to_122076.wav,2.208,དེ་དུས་དཔེ་ང་བཟང་སྤྱོད་མེད་ངོ་ཚ་བོ་ཚ་བོ་རེད།  ,ྲེ་དུས་པ་ང་ཟང་ཅད་ཡོད་མེད་ངོ་བོ་ཚར་བོ་རེད།  ,དགེ་འདུན་པ་ངར་བྱམས་བརྩེ་དེ་མེད་ན་ངོ་ཚ་བོ་རེད།
STT_GR_0033_0069_149120_to_151392,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_GR_0033_0069_149120_to_151392.wav,2.272,གཟབ་སླ་ཡོད་རེད། སེམས་ཅན་ཐབས་ཅད་ལ་གཟབ་ཐེངས་གཅིག་ལ་ ,གཟབ་བཏག་རོ་ལ། སེམས་ཆན་ཐབས་ཅད་ལ་གཟབ་གཏེ་ཅིག་བྟད་ན།  ,ཞབས་པ་འོ་རེ། ཚེམས་ཅན་ཐམས་ཅད་ལ་བྱམས་བརྩེ་བྱེས་ན་
STT_GR_0033_0072_155712_to_158304,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_GR_0033_0072_155712_to_158304.wav,2.592,དུམ་བེ་བཅད་བསྡད་རེད། སེམས་ཅན་སྲོག་ཆགས་ལ་བསྔལ་ཡོད་ན།,རྡོ་རེའི་གཅིལ་དུ་སེབ་གྱིད་སྲོག་ཁྲག་ལ་སྡོམ་ལྔལ་ཡོང་ན།  ,དེ་འདྲས་བྱེད་དུས། སེམས་ཅན་སྲོག་ཆགས་ཀྱི་སྡུག་བསྔལ་ཡོང་ན་
STT_GR_0033_0081_175328_to_177504,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_GR_0033_0081_175328_to_177504.wav,2.176,གསར་པ་ཙུམ་པ་འདྲ་བོ་མ་གཏོགས་དངོས་གནས་ཡོང་གི་ཡོད་མ་རེད།  ,ས་པ་རྫུན་མ་འདྲ་བོ་མ་གཏོག་དངོས་གནས་ཡོང་གི་ཡོད་མ་རེད།  ,བྱམས་པ་རྫུན་མ་འདྲ་བོ་མ་གཏོགས། དངོས་གནས་ཡོང་གི་ཡོད་མ་རེད།
STT_GR_0018_0017_43768_to_45432,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_GR_0018_0017_43768_to_45432.wav,1.664,ཡང་ཕྱག་བཞེས་གཅིག་གསུངས་རེད། ཕྱག་བཞེས།,ཡང་ས་སྐྱས་ྐྱེག་ཟུང་བའི་ས་སྐྱས།  ,ཡང་སངས་རྒྱས་གཅིག་གསོང་རས་སངས་རྒྱས།
STT_GR_0018_0022_53848_to_55096,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_GR_0018_0022_53848_to_55096.wav,1.248,འཁོར་ལོ་བསྐོར་བར་གསོལ་བ་བཏབ་ན།  ,འཕོར་ལོ་གོ་འཕང་གསོ་བ་བཏབ་ན།  ,འཁོར་ལོ་སྐོར་བ་གསོལ་བ་བཏབ་ན།
STT_GR_0033_0088_189120_to_191296,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_GR_0033_0088_189120_to_191296.wav,2.176,དེ་ཡ་གི་བྱམས་པ་ཚད་མེད་གཅིག་པུ་རེ་ཤུགས་ཡོད་ལེ། ,དེ་ཡར་གི་ཟའ་པ་ཚེ་མི་གཅིག་པོ་རེད་ཤོག་བརྒྱབ་ན།  ,དེ་ཡང་བྱམས་པ་ཚད་མེད་གཅིག་པོ་ནས་ཤུག་བརྒྱབ་ནས།
STT_GR_0018_0008_29176_to_30488,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_GR_0018_0008_29176_to_30488.wav,1.312,དང་། དེ་ལྟ་བུའི་ཐེ་ཚོམ་  ,དང་དེ་ལྟ་བུའི་ཐེ་ཚོམ།  ,ད་། དེ་ལྟ་བུའི་ཐེ་ཚོམ།
STT_GR_0033_0061_129564_to_131772,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_GR_0033_0061_129564_to_131772.wav,2.208,ད་ང་གིས་ཉམས་ལེན་གཅིག་བྱེད་ལེ་གང་ཡིན་དགོས་རྫས།,ད་ང་གི་ཉམས་ལེན་གཅིག་ཙི་ལ་ག་ཡེ་གི་ཡོད་ད།  ,ད་ངས་ཉམས་ལེན་གཅིག་བྱེད་ན་ག་རེ་ཡིན་དགོས་ཟེར་
STT_GR_0001_0011_106500_to_110900,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_GR_0001_0011_106500_to_110900.wav,4.4,རྒྱལ་བ་ཐམས་ཅད་མཁྱེན་པ་རྫས་ལེ་དེ་ནས། ཨ། ཕལ་ཆེར་  ,རྒྱལ་བ་ཐམས་ཅད་སྦྱིན་པ་ྱན་ལ་དེ་ནས་ ཨ་ཕར་ཆེར།  ,རྒྱལ་བ་ཐམས་ཅད་མཁྱེན་པ་ཟེར་ན་དེ་ནས། ཨ་ཕལ་ཆེར།
STT_GR_0033_0073_158848_to_161664,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_GR_0033_0073_158848_to_161664.wav,2.816,སེམས་ཅན་དེ་རང་གི་ཕ་མ་རེད། འབྲེལ་བ་ཡོད་རེད་བསམས་བསྡད་ན།  ,སེམས་ཅན་དེ་རང་གི་ཕ་མ་རེད། འབྲེལ་བ་ཡོད་རེད་བསམ་བསྡད་ན།  ,སེམས་ཅན་དེ་རང་གི་ཕ་མ་རེད། འབྲེལ་བ་ཡོད་རེད་བསམ་བསྡད་ན།
STT_GR_0012_0176_845952_to_846976,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_GR_0012_0176_845952_to_846976.wav,1.024,དོན་ཆེན་པོ་ཡོད་རེད།  ,དུང་ཆེན་པོ་ཡོད་རེད།  ,དོན་ཆེན་པོ་ཡོད་རེད།
STT_GR_0012_0087_399592_to_400775,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_GR_0012_0087_399592_to_400775.wav,1.183,འཇིག་རྟེན་གསུམ་མགོན་གི་གསུང་ལས།  ,འཇག་རྟེན་ཙུམ་དགུན་གིས་གསུང་ནས།  ,འཇིག་རྟེན་གསུམ་མགོན་གྱིས་གསུང་ནས་
